"Rep","At","Language","Variant","Laps","Seconds","Rate","Sha256"
"4","2026-09-16T16:30:41.1479050Z","javascript","rung-2-sqrt-bound","2492","5.000215","498.379","6CD17EE420CC"
"4","2026-09-16T16:30:48.4106302Z","fsharp","rung-2-sqrt-bound","2608","5.000962","521.5","FEBDC9F2B820"
"4","2026-09-16T16:30:55.6647645Z","fsharp","rung-6-zero-means-prime","7968","5.000639","1593.396","C2C117DD1FF1"
"4","2026-09-16T16:31:02.8893835Z","csharp","rung-9-no-bounds-checks","7448","5.000622","1489.415","1B0E27B2CBDF"
"4","2026-09-16T16:31:10.2041536Z","javascript","rung-6-zero-means-prime","5946","5.000663","1189.042","C8DE3F942057"
"4","2026-09-16T16:31:17.3924957Z","csharp","rung-5-bitset","7139","5.000512","1427.654","7DF8F50FC42F"
"4","2026-09-16T16:31:24.4993572Z","go","rung-3-mark-from-square","2927","5.000619","585.328","194C5C38230D"
"4","2026-09-16T16:31:31.7439127Z","csharp","rung-4-odds-only","7456","5.000329","1491.102","A9E38F0D58F6"
"4","2026-09-16T16:31:38.9580844Z","csharp","rung-1-flat-array","1240","5.002201","247.891","FEA81C18EBFE"
"4","2026-09-16T16:31:46.3415978Z","javascript","rung-1-typed-array","961","5.000595","192.177","147ED0E18C96"
"4","2026-09-16T16:31:53.5722186Z","csharp","rung-2-sqrt-bound","2973","5.000551","594.534","7215D5B1FF79"
"4","2026-09-16T16:32:00.7770958Z","csharp","rung-6-pooled","7674","5.000627","1534.607","67FD9788EA7C"
"4","2026-09-16T16:32:07.9813686Z","csharp","rung-3-mark-from-square","3273","5.001657","654.383","D1FDACCD0079"
"4","2026-09-16T16:32:15.2106514Z","fsharp","rung-0-baseline","1142","5.002975","228.264","979613F22313"
"4","2026-09-16T16:32:22.5049205Z","fsharp","rung-1-array-create","1175","5.002846","234.866","2371EDE8D76D"
"4","2026-09-16T16:32:29.9042128Z","javascript","rung-5-bitset","5943","5.000494","1188.483","CA528B61F4BB"
"4","2026-09-16T16:32:37.1637775Z","fsharp","rung-3-mark-from-square","2872","5.001648","574.211","8A5EC11F814D"
"4","2026-09-16T16:32:44.2959035Z","go","rung-2-sqrt-bound","2978","5.000197","595.577","9EEFD848FD6B"
"4","2026-09-16T16:32:51.4092931Z","go","rung-5-bitset","8254","5.00199","1650.143","6FBE0CFD07E3"
"4","2026-09-16T16:32:58.5396505Z","go","rung-4-odds-only","6479","5.001107","1295.513","9D3FB860C37B"
"4","2026-09-16T16:33:05.9303030Z","javascript","rung-0-baseline","420","5.010951","83.816","C3F9BCBD69F6"
"4","2026-09-16T16:33:13.0465944Z","go","rung-6-zero-means-prime","9163","5.000707","1832.341","DCEDF4501C73"
"4","2026-09-16T16:33:20.3601959Z","javascript","rung-3-mark-from-square","2742","5.000677","548.326","37337FFA0322"
"4","2026-09-16T16:33:27.4643388Z","go","rung-0-baseline","1300","5.001448","259.925","8EFD26C59F34"
"4","2026-09-16T16:33:34.7134273Z","csharp","rung-0-baseline","650","5.002162","129.944","0FC0B93D4B0D"
"4","2026-09-16T16:33:41.9831365Z","fsharp","rung-5-bitset","7918","5.000247","1583.522","26FB6998DC97"
"5","2026-09-16T16:33:49.3278736Z","javascript","rung-5-bitset","5854","5.00086","1170.599","CA528B61F4BB"
"5","2026-09-16T16:33:56.4952694Z","csharp","rung-7-cache-blocking","7580","5.000627","1515.81","741BCA8C0F40"
"5","2026-09-16T16:34:03.7199764Z","csharp","rung-2-sqrt-bound","2969","5.000182","593.778","7215D5B1FF79"
"5","2026-09-16T16:34:11.1119376Z","javascript","rung-3-mark-from-square","2655","5.000385","530.959","37337FFA0322"
"5","2026-09-16T16:34:18.3392303Z","csharp","rung-6-zero-means-prime","7655","5.000565","1530.827","D6CD0946F30C"
"5","2026-09-16T16:34:25.6822216Z","javascript","rung-6-zero-means-prime","5857","5.000807","1171.211","C8DE3F942057"
"5","2026-09-16T16:34:32.7982984Z","go","rung-3-mark-from-square","2959","5.001487","591.624","194C5C38230D"
"5","2026-09-16T16:34:39.9995698Z","csharp","rung-1-flat-array","1238","5.002833","247.46","FEA81C18EBFE"
"5","2026-09-16T16:34:47.1282537Z","go","rung-4-odds-only","6679","5.000422","1335.687","9D3FB860C37B"
"5","2026-09-16T16:34:54.3969118Z","fsharp","rung-2-sqrt-bound","2482","5.00139","496.262","FEBDC9F2B820"
"5","2026-09-16T16:35:01.7711530Z","javascript","rung-4-odds-only","6089","5.000409","1217.701","97FF02B7C94B"
"5","2026-09-16T16:35:08.8818611Z","go","rung-6-zero-means-prime","8803","5.001361","1760.121","DCEDF4501C73"
"5","2026-09-16T16:35:16.0955470Z","csharp","rung-0-baseline","636","5.000774","127.18","0FC0B93D4B0D"
"5","2026-09-16T16:35:23.2010788Z","go","rung-5-bitset","9007","5.000753","1801.129","6FBE0CFD07E3"
"5","2026-09-16T16:35:30.4218649Z","csharp","rung-3-mark-from-square","3283","5.001264","656.434","D1FDACCD0079"
"5","2026-09-16T16:35:37.6639206Z","fsharp","rung-1-array-create","1252","5.001587","250.321","2371EDE8D76D"
"5","2026-09-16T16:35:44.9216302Z","fsharp","rung-3-mark-from-square","2828","5.001018","565.485","8A5EC11F814D"
"5","2026-09-16T16:35:52.0543955Z","go","rung-2-sqrt-bound","2762","5.000018","552.398","9EEFD848FD6B"
"5","2026-09-16T16:35:59.4228366Z","javascript","rung-2-sqrt-bound","2512","5.001571","502.242","6CD17EE420CC"
"5","2026-09-16T16:36:06.6812771Z","fsharp","rung-6-zero-means-prime","8247","5.000388","1649.272","C2C117DD1FF1"
"5","2026-09-16T16:36:13.8398850Z","csharp","rung-5-bitset","7106","5.000323","1421.108","7DF8F50FC42F"
"5","2026-09-16T16:36:21.0883033Z","fsharp","rung-0-baseline","1246","5.002347","249.083","979613F22313"
"5","2026-09-16T16:36:28.3554335Z","fsharp","rung-5-bitset","7812","5.000356","1562.289","26FB6998DC97"
"5","2026-09-16T16:36:35.6147194Z","fsharp","rung-4-odds-only","7072","5.0001","1414.372","AF5184E4D1D3"
"5","2026-09-16T16:36:42.8527470Z","csharp","rung-6-pooled","7809","5.000493","1561.646","67FD9788EA7C"
"5","2026-09-16T16:36:50.1635110Z","javascript","rung-0-baseline","414","5.008446","82.66","C3F9BCBD69F6"
"5","2026-09-16T16:36:57.4906751Z","javascript","rung-1-typed-array","967","5.001531","193.341","147ED0E18C96"
"5","2026-09-16T16:37:04.6118856Z","go","rung-0-baseline","1322","5.002104","264.289","8EFD26C59F34"
"5","2026-09-16T16:37:11.8270909Z","csharp","rung-4-odds-only","7503","5.000599","1500.42","A9E38F0D58F6"
"5","2026-09-16T16:37:19.0765388Z","csharp","rung-8-wheel-30","30661","5.00003","6132.163","F949610C7F0D"
"5","2026-09-16T16:37:26.2647635Z","csharp","rung-9-no-bounds-checks","7447","5.000512","1489.247","1B0E27B2CBDF"
